date,v_observed,k_observed,greenshields,drake,five_pl,s3
10-26,65.0,0.938666666666652,65.6212423717594,66.62581722889071,66.66246900468434,66.68282088847877
10-26,71.0,0.938666666666652,65.6212423717594,66.62581722889071,66.66246900468434,66.68282088847877
10-26,65.0,0.938666666666652,65.6212423717594,66.62581722889071,66.66246900468434,66.68282088847877
10-26,68.0,0.938666666666652,65.6212423717594,66.62581722889071,66.66246900468434,66.68282088847877
10-26,68.0,0.938666666666652,65.6212423717594,66.62581722889071,66.66246900468434,66.68282088847877
10-26,71.0,0.938666666666652,65.6212423717594,66.62581722889071,66.66246900468434,66.68282088847877
10-26,71.0,0.938666666666652,65.6212423717594,66.62581722889071,66.66246900468434,66.68282088847877
10-26,62.5,0.938666666666652,65.6212423717594,66.62581722889071,66.66246900468434,66.68282088847877
10-26,65.0,0.938666666666652,65.6212423717594,66.62581722889071,66.66246900468434,66.68282088847877
10-26,65.0,0.938666666666652,65.6212423717594,66.62581722889071,66.66246900468434,66.68282088847877
10-26,65.0,0.938666666666652,65.6212423717594,66.62581722889071,66.66246900468434,66.68282088847877
10-26,69.33333333333333,0.938666666666652,65.6212423717594,66.62581722889071,66.66246900468434,66.68282088847877
10-26,65.0,0.938666666666652,65.6212423717594,66.62581722889071,66.66246900468434,66.68282088847877
10-26,71.0,0.938666666666652,65.6212423717594,66.62581722889071,66.66246900468434,66.68282088847877
10-26,68.0,0.938666666666652,65.6212423717594,66.62581722889071,66.66246900468434,66.68282088847877
10-26,65.0,0.938666666666652,65.6212423717594,66.62581722889071,66.66246900468434,66.68282088847877
10-26,65.0,0.938666666666652,65.6212423717594,66.62581722889071,66.66246900468434,66.68282088847877
10-26,65.0,0.938666666666652,65.6212423717594,66.62581722889071,66.66246900468434,66.68282088847877
10-26,65.0,0.938666666666652,65.6212423717594,66.62581722889071,66.66246900468434,66.68282088847877
10-26,65.0,0.938666666666652,65.6212423717594,66.62581722889071,66.66246900468434,66.68282088847877
10-26,71.0,0.938666666666652,65.6212423717594,66.62581722889071,66.66246900468434,66.68282088847877
10-26,56.0,0.938666666666652,65.6212423717594,66.62581722889071,66.66246900468434,66.68282088847877
